Weight class,Method,time
"['Heavyweight', 'Lightweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC']","[('1', '5:00'), ('2', '1:34'), ('1', '4:41'), ('1', '4:20'), ('2', '5:00'), ('2', '1:19'), ('1', '2:51'), ('2', '5:00')]"
"['Middleweight', 'Heavyweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'M-DEC']","[('4', '4:42'), ('3', '5:00'), ('1', '2:08'), ('1', '0:30'), ('1', '3:53'), ('3', '5:00'), ('3', '0:13'), ('2', '5:00')]"
"['Heavyweight', 'Heavyweight', 'Open Weight', 'Middleweight', 'Middleweight', 'Open Weight', 'Open Weight']","['U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('5', '5:00'), ('3', '1:17'), ('2', '4:15'), ('1', '1:28'), ('3', '3:12'), ('3', '5:00'), ('2', '3:12')]"
"['Heavyweight', 'Middleweight', 'Lightweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Lightweight']","['KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC']","[('1', '3:23'), ('3', '3:35'), ('3', '5:00'), ('2', '1:29'), ('2', '2:41'), ('1', '3:09'), ('2', '5:00')]"
"['Middleweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Lightweight']","['U-DEC', 'SUB', 'SUB', 'U-DEC', 'KO/TKO', 'M-DEC']","[('5', '5:00'), ('2', '0:31'), ('1', '4:38'), ('3', '5:00'), ('3', '1:54'), ('3', '5:00')]"
"['Heavyweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Lightweight', 'Heavyweight', 'Welterweight']","['U-DEC', 'U-DEC', 'SUB', 'DQ', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC']","[('5', '5:00'), ('3', '5:00'), ('2', '1:43'), ('2', '0:43'), ('1', '4:34'), ('3', '5:00'), ('2', '2:13'), ('2', '5:00')]"
"['Heavyweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Welterweight']","['KO/TKO', 'S-DEC', 'SUB', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC']","[('1', '1:33'), ('3', '5:00'), ('1', '4:32'), ('1', '1:10'), ('3', '2:28'), ('3', '5:00'), ('2', '5:00'), ('2', '5:00')]"
"['Heavyweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'M-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC']","[('3', '4:13'), ('3', '5:00'), ('2', '4:34'), ('1', '0:55'), ('1', '0:15'), ('2', '5:00')]"
"['Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight']","['SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC']","[('1', '1:52'), ('2', '1:58'), ('1', '2:58'), ('1', '2:24'), ('1', '4:58'), ('1', '0:20'), ('3', '5:00')]"
"['Middleweight', 'Lightweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'U-DEC', 'SUB', 'SUB', 'KO/TKO', 'Overturned', 'U-DEC', 'SUB']","[('1', '0:32'), ('5', '5:00'), ('1', '1:40'), ('1', '2:52'), ('2', '4:21'), ('1', '3:27'), ('2', '5:00'), ('2', '4:47')]"
"['Heavyweight', 'Welterweight', 'Light Heavyweight', 'Welterweight', 'Heavyweight', 'Light Heavyweight', 'Lightweight', 'Welterweight']","['U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'DQ', 'KO/TKO', 'U-DEC']","[('5', '5:00'), ('3', '2:50'), ('1', '1:18'), ('3', '4:51'), ('2', '1:28'), ('3', '4:21'), ('1', '4:57'), ('3', '5:00')]"
"['Light Heavyweight', 'Lightweight', 'Heavyweight', 'Welterweight', 'Lightweight', 'Light Heavyweight', 'Heavyweight', 'Welterweight']","['KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB']","[('1', '3:32'), ('1', '2:42'), ('1', '4:21'), ('2', '2:42'), ('1', '1:48'), ('3', '5:00'), ('3', '1:23'), ('1', '1:05')]"
"['Light Heavyweight', 'Lightweight', 'Light Heavyweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Lightweight']","['U-DEC', 'U-DEC', 'U-DEC', 'M-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'U-DEC']","[('5', '5:00'), ('5', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00'), ('2', '0:15'), ('1', '4:06'), ('3', '5:00')]"
