Weight class,Method,time
"['Heavyweight', 'Middleweight', 'Light Heavyweight', 'Heavyweight', 'Lightweight', 'Welterweight', 'Heavyweight', 'Heavyweight']","['SUB', 'M-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('1', '1:05'), ('3', '5:00'), ('2', '0:55'), ('2', '4:25'), ('1', '0:11'), ('2', '1:27'), ('2', '4:02'), ('3', '3:22')]"
"['Middleweight', 'Welterweight', 'Light Heavyweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Heavyweight', 'Lightweight']","['SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'M-DEC']","[('2', '1:14'), ('3', '5:00'), ('3', '5:00'), ('2', '2:01'), ('3', '5:00'), ('2', '0:44'), ('3', '3:00'), ('5', '5:00')]"
"['Welterweight', 'Lightweight', 'Heavyweight', 'Light Heavyweight', 'Middleweight', 'Welterweight', 'Heavyweight', 'Heavyweight']","['U-DEC', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '5:00'), ('1', '2:58'), ('1', '0:46'), ('1', '2:06'), ('1', '3:09'), ('4', '3:01'), ('3', '1:45'), ('2', '4:35')]"
"['Welterweight', 'Welterweight', 'Middleweight', 'Lightweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Middleweight']","['U-DEC', 'Overturned', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB']","[('3', '5:00'), ('1', '0:27'), ('3', '2:27'), ('3', '5:00'), ('1', '2:59'), ('2', '3:23'), ('2', '3:25'), ('3', '1:33')]"
"['Lightweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC']","[('1', '1:19'), ('2', '3:34'), ('2', '0:27'), ('1', '2:25'), ('3', '5:00'), ('3', '5:00')]"
"['Light Heavyweight', 'Light Heavyweight', 'Light Heavyweight', 'Lightweight', 'Middleweight', 'Heavyweight', 'Welterweight']","['U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('2', '1:38'), ('1', '0:10'), ('1', '4:35'), ('4', '3:37')]"
"['Welterweight', 'Middleweight', 'Middleweight', 'Heavyweight', 'Lightweight', 'Lightweight', 'Heavyweight', 'Heavyweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO']","[('1', '4:16'), ('3', '5:00'), ('1', '0:18'), ('1', '5:00'), ('3', '5:00'), ('3', '5:00'), ('2', '1:43'), ('5', '3:04')]"
"['Middleweight', 'Heavyweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Light Heavyweight', 'Light Heavyweight']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('2', '4:50'), ('1', '4:10'), ('1', '1:18'), ('1', '1:29'), ('1', '1:45'), ('1', '5:00'), ('1', '2:55'), ('3', '5:00')]"
"['Lightweight', 'Heavyweight', 'Lightweight', 'Heavyweight', 'Middleweight', 'Lightweight', 'Heavyweight', 'Heavyweight']","['SUB', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO']","[('3', '4:07'), ('1', '4:49'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('5', '5:00'), ('1', '0:46'), ('1', '3:09')]"
"['Middleweight', 'Lightweight', 'Lightweight', 'Light Heavyweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Welterweight']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC']","[('1', '3:55'), ('3', '5:00'), ('3', '5:00'), ('1', '2:40'), ('2', '1:46'), ('3', '5:00'), ('2', '2:28'), ('5', '5:00')]"
