Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Alexa Grasso,184.976,2023,8-3-0,129.970
Luke Rockhold,183.945,2015,6-5-0,183.313
Tai Tuivasa,183.344,2022,8-5-0,141.990
Jack Hermansson,183.327,2019,10-6-0,146.469
Forrest Griffin,183.246,2011,10-5-0,145.716
Zak Cummings,183.149,2023,10-4-0,121.175
Sean Brady,183.010,2021,5-1-0,161.770
Alejandro Perez,182.837,2018,8-4-1,105.569
Krzysztof Jotko,182.709,2022,11-6-0,125.059
Erin Blanchfield,182.580,2023,5-0-0,143.153
Dennis Siver,182.369,2012,12-8-0,122.001
Nate Marquardt,182.192,2009,12-12-0,142.009
Urijah Faber,182.155,2015,11-7-0,141.351
Matt Mitrione,181.902,2014,9-5-0,123.002
Cheick Kongo,181.785,2011,11-6-1,116.148
Ilia Topuria,181.485,2022,5-0-0,139.747
Drew Dober,181.323,2022,12-8-0,117.306
Jimmie Rivera,181.286,2017,7-4-0,150.050
Tom Aspinall,180.826,2022,5-1-0,151.054
James Krause,180.795,2019,9-4-0,122.255
Dan Ige,180.783,2020,9-5-0,140.884
Aleksandar Rakic,180.637,2021,6-2-0,149.035
Omari Akhmedov,180.483,2019,9-5-1,131.141
Paulo Costa,180.314,2019,6-2-0,152.453
Sodiq Yusuff,180.156,2022,6-1-0,140.290
Andre Muniz,180.118,2022,5-1-0,142.567
Germaine de Randamie,180.018,2020,7-2-0,134.738
Ryan LaFlare,179.685,2017,7-3-0,139.620
Amanda Lemos,179.581,2022,7-2-0,127.913
Vinc Pichel,179.432,2021,7-3-0,126.415
Montel Jackson,179.199,2023,7-2-0,119.681
Evan Dunham,179.147,2016,11-9-1,144.533
Gunnar Nelson,179.088,2018,10-5-0,147.057
Mike Pyle,179.083,2013,10-9-0,119.162
Said Nurmagomedov,178.863,2022,6-2-0,133.294
Manon Fiorot,178.752,2022,5-0-0,125.503
David Teymur,178.491,2018,5-1-0,133.998
Pedro Rizzo,178.471,2001,9-5-0,133.359
Alex Caceres,178.442,2023,16-11-0,109.129
Jared Cannonier,178.350,2022,9-6-0,166.170
Ricco Rodriguez,178.330,2002,5-2-0,125.022
Daniel Kelly,178.180,2017,6-4-0,129.544
Matt Lindland,178.024,2005,9-3-0,115.064
Julianna Pena,177.986,2021,7-3-0,146.735
Oleg Taktarov,177.884,1995,6-2-1,130.571
Alan Belcher,177.556,2012,9-6-0,122.178
Anthony Rocco Martin,177.486,2019,9-6-0,140.513
Claudio Silva,177.432,2019,5-3-0,117.894
Jailton Almeida,177.363,2023,5-0-0,120.273
Roman Dolidze,177.236,2022,6-2-0,125.694
Alex Perez,177.196,2020,6-3-0,139.753
Sergio Pettis,177.073,2018,9-5-0,125.713
Ian Garry,176.595,2023,5-0-0,114.827
Antonio Carlos Junior,176.563,2018,7-5-0,116.877
Chan Sung Jung,176.313,2021,7-4-0,177.112
Mirsad Bektic,176.206,2018,6-4-0,125.768
Shane Burgos,176.032,2019,8-3-0,131.111
Takeya Mizugaki,175.951,2014,8-6-0,114.745
Frank Shamrock,175.944,1999,5-0-0,113.976
Olivier Aubin-Mercier,175.931,2018,7-5-0,111.461
Anthony Pettis,175.778,2014,11-9-0,182.731
Ovince Saint Preux,175.479,2015,14-12-0,133.658
Amir Albazi,175.440,2023,5-0-0,110.473
Jared Rosholt,175.393,2015,6-2-0,115.205
Alex Pereira,175.237,2022,4-1-0,201.708
Ryan Spann,175.056,2022,7-3-0,131.245
John Dodson,175.039,2016,10-7-0,135.691
Drakkar Klose,174.902,2022,7-2-0,123.309
Marcus Davis,174.850,2009,8-6-0,119.743
Sam Alvey,174.733,2018,10-13-1,119.870
Adrian Yanez,174.630,2022,5-1-0,117.274
Calvin Kattar,174.559,2022,7-5-0,168.795
Michael Johnson,174.446,2015,13-15-0,137.057
Rousimar Palhares,174.368,2012,8-4-0,122.320
Dan Henderson,173.964,2011,9-9-0,162.198
Raoni Barcelos,173.935,2020,6-3-0,107.503
Cristiane Justino,173.862,2019,6-1-0,121.914
Tyson Griffin,173.843,2009,8-6-0,114.999
Muslim Salikhov,173.814,2021,6-2-0,148.201
Damir Ismagulov,173.788,2022,5-1-0,111.625
Nate Quarry,173.675,2009,7-3-0,122.224
Joe Lauzon,173.665,2011,15-12-0,128.393
Jack Shore,173.359,2022,6-1-0,113.178
Matt Wiman,172.940,2012,10-8-0,114.192
Maycee Barber,172.755,2023,7-2-0,112.932
Tecia Torres,172.700,2017,9-6-0,121.753
Kai Kara-France,172.565,2022,7-4-0,122.660
Clay Guida,172.546,2011,18-17-0,134.080
Alexandr Romanov,172.482,2022,5-2-0,118.668
Ketlen Vieira,172.124,2022,7-3-0,127.351
Mackenzie Dern,171.614,2021,8-3-0,114.275
Uriah Hall,171.523,2021,10-9-0,145.058
Rafael Natal,171.332,2016,9-7-1,112.651
Chris Leben,171.307,2006,12-10-0,106.858
Chas Skelly,171.113,2022,8-3-0,111.200
Carlos Condit,171.022,2012,9-10-0,168.749
Cynthia Calvillo,170.954,2020,6-6-1,117.064
Erik Perez,170.953,2016,7-2-0,110.448
Nikita Krylov,170.825,2023,11-7-0,135.860
Paul Craig,170.378,2022,8-6-1,115.249
Jairzinho Rozenstruik,170.120,2020,7-5-0,160.373
Josh Barnett,169.830,2013,7-3-0,147.790
Arman Tsarukyan,169.757,2022,6-2-0,143.272
Dan Hardy,169.590,2009,6-4-0,151.958
Spencer Fisher,169.335,2009,9-8-0,111.494
Marlon Moraes,169.287,2019,5-6-0,186.185
Tim Means,168.931,2021,14-12-0,124.005
Cezar Ferreira,168.772,2018,9-6-0,111.858
Michel Pereira,168.525,2022,6-2-0,126.538
Jimi Manuwa,167.961,2017,6-6-0,144.544
Serghei Spivac,167.523,2023,7-3-0,119.960
Jack Della Maddalena,167.468,2023,4-0-0,143.559
Ryan Hall,167.254,2019,5-1-0,134.721
Jonathan Pearce,167.192,2022,5-1-0,126.568
Ilir Latifi,167.191,2018,9-7-0,131.558
Tim Boetsch,167.133,2012,12-12-0,140.394
Shane Carwin,166.962,2010,4-2-0,149.474
