Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Kevin Randleman,122.823,4-3-0,1,+ 16.5,- 15.6,- 14.7,+ 18.1,+ 17.5
Sara McMann,122.635,7-6-0,1,+ 18.5,- 15.0,+ 16.8,- 15.5,- 16.1
Jorge Rivera,122.468,8-7-0,1,+ 14.4,- 17.9,- 13.8,+ 18.4,+ 16.4
Warlley Alves,122.366,8-6-0,0,- 16.7,- 18.6,+ 14.9,- 17.3,+ 17.4
David Terrell,122.272,2-1-0,1,+ 15.7,- 12.6,+ 19.2,+ 0.0,+ 0.0
Ali Bagautinov,122.247,4-3-0,0,- 14.4,+ 15.1,- 13.1,- 13.9,+ 16.6
Mark Coleman,122.235,7-5-0,0,- 13.4,+ 15.9,- 18.4,- 17.8,- 19.4
Manel Kape,122.223,3-2-0,3,+ 17.2,+ 15.8,+ 17.3,- 13.9,- 14.0
Chris Daukaus,122.178,4-3-0,0,- 15.9,- 13.1,- 13.0,+ 15.4,+ 16.7
Olivier Aubin-Mercier,122.151,7-5-0,0,- 18.4,- 16.8,- 18.6,+ 16.9,+ 15.0
JJ Aldrich,122.091,7-5-0,0,- 19.0,- 17.2,+ 15.6,+ 14.7,+ 14.3
Matt Schnell,121.815,6-5-0,0,- 14.3,+ 16.4,- 16.8,+ 15.3,- 15.6
Bill Algeo,121.497,4-3-0,1,+ 15.8,- 16.3,+ 16.4,+ 16.5,- 14.3
Phil Rowe,121.389,3-2-0,0,- 11.7,+ 16.9,+ 16.1,+ 16.8,- 16.7
Chad Laprise,121.225,6-4-0,0,- 20.4,- 16.6,+ 14.7,+ 14.0,+ 13.9
Nina Nunes,121.167,5-4-0,1,+ 16.8,- 14.2,- 14.7,+ 16.9,+ 16.1
Tim Means,121.117,14-12-0,0,- 14.0,- 18.0,- 15.8,+ 14.4,+ 15.6
Jeff Monson,120.847,4-3-0,0,- 13.9,+ 15.1,+ 17.5,+ 17.4,- 14.5
Philipe Lins,120.818,3-2-0,3,+ 15.9,+ 18.2,+ 16.9,- 15.3,- 14.8
Victor Henry,120.775,2-1-0,1,+ 16.5,- 14.3,+ 18.5,+ 0.0,+ 0.0
Marcus Davis,120.710,8-6-0,0,- 17.5,- 16.0,+ 14.4,- 17.1,- 17.9
Takeya Mizugaki,120.644,8-6-0,0,- 17.9,- 15.5,+ 13.2,- 17.2,- 17.9
Nate Landwehr,120.450,4-3-0,0,- 15.4,+ 15.8,+ 16.6,+ 16.6,- 17.4
Clay Guida,120.340,18-17-0,0,- 17.5,+ 16.4,- 15.6,+ 19.0,- 16.2
Curtis Millender,120.125,3-2-0,0,- 16.0,- 14.8,+ 16.1,+ 15.4,+ 19.5
Rafael Natal,119.872,9-7-1,0,- 17.7,- 17.5,- 16.2,+ 13.4,+ 14.9
Jacob Malkoun,119.737,3-2-0,1,+ 16.6,- 14.1,+ 15.9,+ 17.3,- 16.0
Davi Ramos,119.611,4-3-0,0,- 17.4,- 14.5,+ 14.3,+ 15.7,+ 17.9
Bruno Silva,119.442,4-3-0,0,- 12.7,+ 19.1,- 16.0,- 17.4,+ 15.2
Sergey Khandozhko,119.439,2-1-0,1,+ 16.2,- 12.7,+ 16.0,+ 0.0,+ 0.0
Jimmy Crute,119.383,4-3-1,1,+ 2.7,- 16.7,- 15.4,+ 15.2,+ 16.0
Steve Garcia,119.288,3-2-0,2,+ 17.2,+ 17.3,- 16.0,+ 16.1,- 15.2
Ed Herman,119.180,13-11-0,0,- 14.4,- 17.6,+ 14.3,+ 14.2,+ 15.8
Lucas Martins,119.146,4-3-0,1,+ 15.9,- 15.4,- 15.1,+ 15.8,+ 15.9
Alexis Davis,119.143,8-6-0,1,+ 13.7,- 16.1,+ 17.4,- 16.2,- 18.5
Maurice Smith,119.088,4-3-0,0,- 17.7,+ 15.0,+ 18.0,- 17.0,- 15.4
Adriano Martins,118.942,4-3-0,0,- 17.0,- 15.6,+ 15.1,+ 16.7,+ 15.8
Drew Fickett,118.912,4-3-0,1,+ 15.1,- 14.7,+ 15.9,- 16.1,+ 17.4
Saidyokub Kakhramonov,118.856,2-1-0,0,- 14.6,+ 16.7,+ 16.8,+ 0.0,+ 0.0
Kajan Johnson,118.747,4-3-0,0,- 13.2,- 15.6,+ 16.6,+ 17.0,+ 13.3
Patrick Cote,118.584,10-11-0,0,- 14.7,- 10.7,+ 17.7,+ 14.7,+ 15.9
Tyson Griffin,118.536,8-6-0,0,- 17.7,+ 14.2,- 15.6,- 19.1,- 17.2
Niko Price,118.515,7-6-0,0,- 16.9,+ 16.5,- 16.7,- 13.8,+ 17.5
Bruno Bulldog,118.322,3-2-0,3,+ 16.2,+ 15.9,+ 17.4,- 15.3,- 16.0
Christian Rodriguez,118.179,2-1-0,2,+ 16.6,+ 16.7,- 15.1,+ 0.0,+ 0.0
Daniel Santos,118.163,2-1-0,2,+ 15.9,+ 17.6,- 15.4,+ 0.0,+ 0.0
Maiquel Falcao,118.098,1-0-0,1,+ 18.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Thiago Alves,118.086,14-12-0,0,- 16.5,- 17.7,+ 13.8,- 18.6,- 19.5
Allan Nascimento,118.078,2-1-0,2,+ 16.7,+ 16.7,- 15.3,+ 0.0,+ 0.0
Khalid Murtazaliev,118.072,1-0-0,1,+ 18.1,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brendan Schaub,118.009,6-5-0,0,- 14.2,- 14.0,+ 17.1,+ 16.2,- 18.0
Kenichi Yamamoto,117.816,2-1-0,0,- 13.5,+ 16.0,+ 15.2,+ 0.0,+ 0.0
Timur Valiev,117.775,2-1-0,0,- 14.8,+ 18.7,+ 13.8,+ 0.0,+ 0.0
Todd Duffee,117.592,3-2-0,0,- 15.0,+ 15.2,+ 16.7,- 16.0,+ 16.8
Wilson Reis,117.489,7-6-0,0,- 15.4,+ 16.5,- 15.9,- 16.5,- 11.2
Che Mills,117.477,2-1-0,1,+ 15.9,- 15.2,+ 16.7,+ 0.0,+ 0.0
Volkan Oezdemir,117.451,6-6-0,0,- 15.8,+ 18.5,- 13.8,- 18.1,+ 17.6
John Castaneda,117.425,3-2-0,1,+ 15.9,- 17.6,+ 17.3,+ 16.3,- 14.5
Sanae Kikuta,117.404,1-0-0,1,+ 17.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Sergey Morozov,117.337,3-2-0,2,+ 15.3,+ 17.1,- 15.2,+ 16.2,- 16.0
Ikram Aliskerov,117.249,1-0-0,1,+ 17.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ian Freeman,117.229,3-2-1,1,+ 1.4,- 18.2,+ 16.6,+ 16.7,+ 16.7
Timothy Johnson,117.155,4-3-0,1,+ 16.7,- 16.8,+ 16.8,- 16.8,+ 15.9
Muhammad Naimov,117.006,1-0-0,1,+ 17.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Gabriel Bonfim,116.879,1-0-0,1,+ 16.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Nursulton Ruziboev,116.836,1-0-0,1,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Irina Alekseeva,116.813,1-0-0,1,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ikuhisa Minowa,116.772,1-0-0,1,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Lee Murray,116.770,1-0-0,1,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Dmitry Sosnovskiy,116.758,1-0-0,1,+ 16.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mark Schultz,116.736,1-0-0,1,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Fares Ziam,116.731,3-2-0,1,+ 16.0,- 16.0,+ 16.1,+ 16.0,- 15.3
Albert Duraev,116.730,2-1-0,1,+ 16.7,- 15.3,+ 15.3,+ 0.0,+ 0.0
Trey Waters,116.708,1-0-0,1,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Leslie Smith,116.702,4-3-0,2,+ 16.0,+ 16.7,- 16.0,+ 16.0,- 16.7
Chepe Mariscal,116.675,1-0-0,1,+ 16.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Hermes Franca,116.657,6-5-0,0,- 14.7,+ 15.3,- 16.0,- 16.0,+ 16.5
Javier Vazquez,116.645,1-0-0,1,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Scott Ferrozzo,116.624,3-2-0,0,- 16.8,+ 15.2,+ 17.5,+ 16.7,- 16.0
Steve Erceg,116.611,1-0-0,1,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Steve Bosse,116.586,2-1-0,2,+ 15.3,+ 17.2,- 15.9,+ 0.0,+ 0.0
Fernando Padilla,116.559,1-0-0,1,+ 16.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brian Foster,116.410,3-2-0,2,+ 16.5,+ 15.9,- 16.8,+ 17.4,- 16.7
Augusto Sakai,116.395,5-4-0,1,+ 16.1,- 15.2,- 15.2,- 15.6,- 15.2
Magomed Mustafaev,116.390,3-2-0,0,- 16.8,+ 15.2,- 14.7,+ 16.5,+ 16.2
Remco Pardoel,116.378,3-2-0,0,- 16.8,+ 15.2,- 14.0,+ 16.0,+ 16.0
Wang Guan,116.368,1-0-0,1,+ 16.4,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Carlos Felipe,116.301,3-2-0,0,- 15.0,+ 15.3,+ 16.0,+ 16.7,- 16.7
Mark Hall,116.300,4-3-0,0,- 13.5,+ 13.9,- 14.6,+ 15.3,+ 15.3
Uros Medic,116.122,2-1-0,1,+ 16.7,- 15.8,+ 15.3,+ 0.0,+ 0.0
Ron Waterman,116.115,2-1-1,2,+ 16.0,+ 1.0,- 16.8,+ 16.0,+ 0.0
Jamey-Lyn Horth,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Yanal Ashmouz,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Anshul Jubli,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
JeongYeong Lee,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Rinya Nakamura,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
HyunSung Park,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Aliaskhab Khizriev,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Logan Clark,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Tom Murphy,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jonathan Wiezorek,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Mark Hughes,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ben Earwood,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Bob Cook,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Scott Adams,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Marcelo Mello,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Sione Latu,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Tulio Palhares,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Cesar Marscucci,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Kazushi Sakuraba,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Enson Inoue,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Yoshiki Takahashi,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Justin Martin,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Rafael Carino,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Onassis Parungao,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jon Hess,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Frank Hamaker,116.000,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Gerard Gordeau,116.000,2-1-0,0,- 16.0,+ 16.0,+ 16.0,+ 0.0,+ 0.0
Mikey Burnett,115.966,2-1-0,1,+ 15.2,- 15.3,+ 16.0,+ 0.0,+ 0.0
Paul Sass,115.964,3-2-0,0,- 16.1,- 15.5,+ 17.0,+ 15.3,+ 15.2
Farid Basharat,115.957,1-0-0,1,+ 16.0,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Brady Hiestand,115.931,2-1-0,2,+ 16.0,+ 15.9,- 16.0,+ 0.0,+ 0.0
Brad Riddell,115.916,4-3-0,0,- 15.2,- 15.9,- 16.6,+ 16.3,+ 14.5
Chris Duncan,115.894,1-0-0,1,+ 15.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Christian Duncan,115.890,1-0-0,1,+ 15.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Jamal Pogues,115.850,1-0-0,1,+ 15.8,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ovince Saint Preux,115.642,14-12-0,0,- 18.2,+ 17.1,- 17.6,- 17.7,+ 15.0
Aspen Ladd,115.576,4-3-0,0,- 13.9,- 17.4,+ 15.5,- 15.3,+ 16.0
Brian Kelleher,115.546,8-7-0,0,- 16.7,- 17.6,+ 13.7,+ 14.2,- 15.4
Tainara Lisboa,115.546,1-0-0,1,+ 15.5,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Nurullo Aliev,115.514,1-0-0,1,+ 15.5,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Vitor Petrino,115.334,1-0-0,1,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ebenezer Fontes Braga,115.333,1-0-0,1,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Clayton Carpenter,115.330,1-0-0,1,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
David Onama,115.300,3-2-0,1,+ 15.4,- 16.6,+ 16.0,+ 17.3,- 16.7
Genki Sudo,115.298,2-1-0,1,+ 16.0,- 16.7,+ 16.0,+ 0.0,+ 0.0
Steve Nelmark,115.287,2-1-0,0,- 16.0,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Daniel Marcos,115.266,1-0-0,1,+ 15.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Nazim Sadykhov,115.234,1-0-0,1,+ 15.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Steve Jennum,115.233,2-1-0,0,- 16.7,+ 15.2,+ 16.7,+ 0.0,+ 0.0
Tyrone Roberts,115.232,1-0-0,1,+ 15.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Vanessa Demopoulos,115.152,3-2-0,0,- 17.2,+ 15.2,+ 16.0,+ 15.9,- 14.7
Tom Lawlor,114.954,6-5-0,0,- 15.4,+ 16.2,+ 16.1,- 14.4,+ 15.1
Caio Magalhaes,114.941,4-3-0,0,- 15.2,- 16.7,+ 14.8,+ 15.2,+ 16.7
Jake Hadley,114.840,2-1-0,2,+ 15.5,+ 16.0,- 16.7,+ 0.0,+ 0.0
Ottman Azaitar,114.811,2-1-0,0,- 17.4,+ 16.9,+ 15.3,+ 0.0,+ 0.0
Andre Roberts,114.806,2-1-0,1,+ 16.8,- 17.3,+ 15.3,+ 0.0,+ 0.0
Brian Stann,114.793,6-5-0,0,- 18.2,- 13.9,+ 15.4,- 17.2,+ 13.7
Michael Trizano,114.775,4-3-0,1,+ 15.5,- 16.7,- 15.3,+ 16.1,- 16.8
Viviane Araujo,114.772,5-4-0,0,- 15.3,- 15.8,+ 15.9,- 15.3,+ 14.4
Marcus McGhee,114.717,1-0-0,1,+ 14.7,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ludovit Klein,114.637,3-2-1,3,- 2.6,+ 16.0,+ 17.2,- 16.6,- 16.1
Johnny Rhodes,114.627,2-1-0,0,- 16.6,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Tom Duquesnoy,114.626,2-1-0,1,+ 14.6,- 16.0,+ 16.1,+ 0.0,+ 0.0
Carlos Hernandez,114.595,2-1-0,1,+ 15.3,- 16.7,+ 16.0,+ 0.0,+ 0.0
Abdul-Kerim Edilov,114.595,1-0-0,1,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Bo Nickal,114.593,1-0-0,1,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Melsik Baghdasaryan,114.577,2-1-0,0,- 16.7,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Tamires Vidal,114.566,1-0-0,1,+ 14.6,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Royston Wee,114.561,2-1-0,0,- 16.7,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Ronnie Lawrence,114.543,2-1-0,0,- 16.7,+ 16.0,+ 15.2,+ 0.0,+ 0.0
Matt Wiman,114.530,10-8-0,0,- 17.5,- 18.3,- 18.4,+ 12.8,- 17.1
Danny Roberts,114.496,7-6-0,0,- 15.9,- 12.5,+ 17.7,+ 14.7,- 17.3
Edmen Shahbazyan,114.483,5-4-0,0,- 15.8,+ 13.6,- 16.8,- 15.3,- 14.7
Carlos Condit,114.352,9-10-0,0,- 17.3,+ 17.9,+ 15.5,- 14.4,- 14.1
Piera Rodriguez,114.296,2-1-0,0,- 15.8,+ 14.9,+ 15.2,+ 0.0,+ 0.0
Ronny Markes,114.224,3-2-0,0,- 18.2,- 17.6,+ 16.0,+ 18.0,+ 16.0
Tim Credeur,114.211,3-2-0,0,- 17.6,- 15.5,+ 15.3,+ 16.0,+ 16.0
Chelsea Chandler,114.182,1-0-0,1,+ 14.2,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ode Osbourne,114.179,4-3-0,1,+ 16.9,- 17.1,+ 15.3,+ 16.8,- 17.3
Mike Kyle,114.132,2-1-0,1,+ 16.1,- 16.7,+ 14.7,+ 0.0,+ 0.0
Julio Arce,114.042,5-4-0,0,- 15.2,+ 15.4,- 13.7,+ 16.3,- 15.8
Natan Levy,114.016,2-1-0,2,+ 15.3,+ 16.1,- 17.4,+ 0.0,+ 0.0
Juan Espino,113.960,2-1-0,0,- 15.9,+ 13.8,+ 16.0,+ 0.0,+ 0.0
Jake O'Brien,113.945,4-3-0,0,- 15.9,+ 15.3,- 16.7,- 14.7,+ 14.6
Scott Holtzman,113.924,7-6-0,0,- 16.4,- 19.0,- 13.6,+ 17.2,+ 14.6
Gaston Bolanos,113.871,1-0-0,1,+ 13.9,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Ricky Turcios,113.868,2-1-0,1,+ 14.6,- 16.7,+ 16.0,+ 0.0,+ 0.0
Aisling Daly,113.863,2-1-0,1,+ 15.3,- 17.5,+ 16.0,+ 0.0,+ 0.0
Tim Boetsch,113.858,12-12-0,0,- 15.8,- 15.2,+ 19.2,- 13.8,+ 17.5
Din Thomas,113.823,5-4-0,0,- 18.1,- 16.1,+ 14.5,+ 15.9,+ 15.1
Miranda Maverick,113.803,4-3-0,0,- 16.7,+ 14.6,+ 16.0,- 16.0,- 16.9
Terrance McKinney,113.496,3-2-0,0,- 17.4,+ 14.6,- 15.8,+ 16.0,+ 16.1
Luis Saldana,113.425,2-1-1,2,- 0.1,+ 15.4,- 16.7,+ 14.8,+ 0.0
Nate Maness,113.403,3-2-0,0,- 16.9,- 16.6,+ 15.3,+ 15.6,+ 16.0
Paddy Holohan,113.391,3-2-0,0,- 15.8,+ 14.7,+ 15.3,- 16.7,+ 16.0
Makhmud Muradov,113.389,3-2-0,0,- 15.9,- 17.6,+ 15.9,+ 15.0,+ 16.0
Kiichi Kunimoto,113.333,3-2-0,0,- 17.4,- 15.3,+ 15.3,+ 14.7,+ 16.0
Josh Samman,113.305,3-2-0,0,- 17.2,- 18.2,+ 16.7,+ 16.0,+ 16.0
Joshua Van,113.291,1-0-0,1,+ 13.3,+ 0.0,+ 0.0,+ 0.0,+ 0.0
Adam Wieczorek,113.238,2-1-0,0,- 16.8,+ 16.1,+ 14.0,+ 0.0,+ 0.0
Robert Peralta,113.110,4-3-0,0,- 15.5,- 16.1,+ 16.8,+ 14.6,- 16.6
Mark Hunt,113.065,8-8-1,0,- 15.2,- 16.0,- 17.3,+ 18.7,- 16.2
Aleksei Oleinik,112.941,9-8-0,0,- 15.7,+ 14.1,- 16.6,- 16.7,- 13.3
Marc-Andre Barriault,112.907,5-5-0,2,+ 16.6,+ 17.5,- 14.8,+ 17.0,- 15.6
Rich Attonito,112.750,3-2-0,0,- 17.4,+ 16.2,- 17.3,+ 15.3,+ 16.0
Sumudaerji,112.696,3-2-0,0,- 16.4,+ 14.5,+ 15.3,+ 15.6,- 16.3
Bea Malecki,112.614,2-1-0,0,- 17.4,+ 14.0,+ 16.0,+ 0.0,+ 0.0
Gabriel Gonzaga,112.230,12-10-0,0,- 15.2,+ 14.6,- 18.5,- 15.1,- 16.6
Elias Silverio,112.021,3-2-0,0,- 18.1,- 16.6,+ 15.3,+ 16.1,+ 15.3
Max Griffin,112.021,7-8-0,0,- 15.8,+ 18.0,- 10.6,+ 17.3,+ 18.7
Paul Kelly,111.969,5-4-0,0,- 17.3,+ 15.4,- 18.0,+ 15.3,- 17.4
Montana De La Rosa,111.888,5-4-1,0,- 13.6,- 16.5,+ 14.2,+ 0.4,- 17.4
Roosevelt Roberts,111.832,4-3-0,0,- 18.0,- 15.6,+ 15.3,+ 15.2,- 15.9
Soa Palelei,111.759,4-3-0,0,- 18.1,+ 13.8,- 16.0,+ 15.2,+ 15.4
Luana Carolina,111.546,4-3-0,1,+ 16.2,- 17.3,- 16.8,+ 15.3,+ 16.8
Matt Serra,111.297,7-7-0,0,- 16.4,+ 14.5,- 12.1,- 12.5,+ 19.7
Ben Nguyen,111.257,4-3-0,0,- 16.5,- 16.3,+ 13.8,+ 14.7,- 15.1
Brad Blackburn,111.234,3-2-0,0,- 17.3,- 17.5,+ 14.6,+ 15.5,+ 16.0
Parker Porter,111.207,4-3-0,1,+ 16.2,- 17.3,- 16.6,+ 13.9,+ 14.1
Shayilan Nuerdanbieke,111.187,3-2-0,0,- 17.2,+ 15.0,+ 16.2,+ 14.0,- 16.8
Ariane Lipski,110.900,5-5-0,2,+ 17.0,+ 19.0,- 16.1,+ 17.2,- 14.2
Waldo Cortes-Acosta,110.878,2-1-0,0,- 15.1,+ 12.6,+ 13.4,+ 0.0,+ 0.0
Dustin Hazelett,110.830,5-4-0,0,- 16.4,- 16.4,- 17.9,+ 14.5,+ 16.0
Alan Patrick,110.751,5-4-0,0,- 18.1,- 16.3,- 17.6,+ 13.8,+ 16.6
Abdul Razak Alhassan,110.694,6-5-0,1,+ 16.3,- 15.7,+ 15.8,- 17.3,- 16.4
Paige VanZant,110.597,5-4-0,0,- 15.0,+ 15.5,- 16.5,- 17.3,+ 15.4
Marlon Moraes,110.385,5-6-0,0,- 12.9,- 14.6,- 15.4,- 16.0,+ 18.3
Chase Hooper,110.291,4-3-0,1,+ 15.5,- 17.3,+ 15.6,- 17.3,+ 15.4
Jose Quinonez,110.169,5-4-0,0,- 17.5,- 16.7,+ 13.9,- 16.7,+ 15.1
Phil Hawes,109.921,4-3-0,0,- 17.2,- 15.9,+ 14.6,- 18.1,+ 14.6
Aleksei Kunchenko,109.860,2-2-0,0,- 13.7,- 14.5,+ 19.4,+ 18.6,+ 0.0
Manny Bermudez,109.714,3-2-0,0,- 17.8,- 17.2,+ 15.4,+ 14.6,+ 14.8
Terry Etim,109.696,6-5-0,0,- 18.0,- 15.8,+ 13.9,- 18.0,+ 15.3
Michael Chandler,109.650,2-3-0,0,- 9.1,+ 22.3,- 13.4,- 10.0,+ 19.9
Joaquim Silva,109.553,5-4-0,0,- 13.9,+ 12.7,- 17.1,- 17.5,+ 15.3
Tyson Pedro,109.119,5-4-0,0,- 18.7,+ 13.9,+ 13.8,- 15.2,- 14.7
Clint Hester,109.105,4-3-0,0,- 16.6,- 18.0,- 18.1,+ 14.6,+ 14.5
Gabriel Benitez,109.035,7-6-0,1,+ 14.9,- 17.3,- 15.9,+ 15.4,- 16.6
Song Kenan,108.861,4-3-0,0,- 15.0,- 18.7,+ 14.7,+ 14.9,- 17.0
Steven Siler,108.762,5-4-0,0,- 18.0,- 16.6,- 16.6,+ 13.4,+ 14.5
Nick Diaz,108.530,7-7-0,0,- 14.0,- 8.3,- 15.6,+ 19.3,+ 15.5
Lyman Good,108.393,3-3-0,0,- 14.0,+ 16.6,- 11.5,+ 17.2,- 16.0
Megan Anderson,108.265,3-3-0,0,- 9.6,+ 15.9,+ 16.7,- 16.1,+ 17.1
Felicia Spencer,108.096,3-3-0,1,+ 17.2,- 16.3,- 9.9,+ 15.1,- 14.0
Ildemar Alcantara,107.810,4-3-0,0,- 17.9,+ 14.8,- 17.7,+ 15.4,- 17.4
Christos Giagos,107.783,6-6-0,1,+ 17.5,- 15.8,- 15.2,+ 13.5,+ 15.6
Charles Jourdain,107.558,5-5-1,1,+ 16.5,- 14.2,- 14.1,+ 15.9,+ 16.7
Marc Diakiese,107.405,7-6-0,0,- 17.9,+ 15.9,+ 17.1,- 17.1,- 17.2
Liz Carmouche,107.095,5-5-0,0,- 13.7,+ 15.7,+ 16.5,- 14.2,+ 17.4
Stefan Struve,106.985,13-11-0,0,- 17.1,- 17.4,+ 16.2,- 17.6,- 15.7
Mickey Gall,106.919,6-5-0,0,- 17.1,- 14.8,+ 14.1,- 17.3,+ 13.3
Chris Cariaso,106.694,7-6-0,0,- 16.5,- 17.1,- 13.5,+ 15.0,+ 14.9
Brandon Vera,106.573,8-7-0,0,- 17.6,- 16.8,+ 15.4,- 16.4,- 15.1
Don'Tale Mayes,106.490,3-3-0,1,+ 19.9,- 16.1,+ 16.6,+ 16.7,- 15.3
Amir Sadollah,106.414,6-5-0,0,- 18.9,- 16.8,+ 13.9,- 17.3,+ 15.4
Cung Le,106.322,2-2-0,0,- 13.0,+ 20.7,+ 15.5,- 16.9,+ 0.0
Tatsuya Kawajiri,106.150,3-3-0,0,- 13.8,- 15.0,+ 15.1,+ 18.8,- 14.9
Mauricio Rua,105.955,11-12-1,0,- 17.8,- 17.1,- 17.7,+ 14.9,- 4.5
Priscila Cachoeira,105.829,4-4-0,2,+ 16.1,+ 16.5,- 14.5,+ 16.1,+ 17.3
Falaniko Vitale,105.046,1-1-0,0,- 14.3,+ 19.4,+ 0.0,+ 0.0,+ 0.0
Ricky Glenn,104.891,4-4-1,0,- 17.5,+ 0.5,+ 17.1,- 17.0,+ 17.4
Jamie Mullarkey,104.865,4-4-0,0,- 17.0,+ 15.7,+ 16.5,- 14.6,+ 18.0
Diego Nunes,104.837,3-3-0,0,- 14.4,+ 15.9,- 14.2,+ 14.5,- 12.2
Keith Hackney,104.835,2-2-0,0,- 14.7,- 11.7,+ 15.3,+ 16.0,+ 0.0
Ismail Naurdiev,104.767,2-2-0,0,- 16.2,+ 16.7,- 16.9,+ 21.1,+ 0.0
Zak Ottow,104.708,4-4-0,0,- 15.8,+ 15.8,- 15.0,+ 16.8,- 14.9
