Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Amanda Lemos,179.581,7-2-0,2,+ 17.1,+ 14.7,- 14.9,+ 13.0,+ 15.1
Forrest Griffin,179.565,10-5-0,1,+ 15.2,- 18.8,+ 18.1,+ 18.3,- 12.5
Jessica Andrade,179.398,15-9-0,0,- 17.2,- 18.3,+ 13.9,+ 14.9,+ 15.2
Montel Jackson,179.199,7-2-0,4,+ 18.0,+ 15.2,+ 13.7,+ 15.2,- 16.1
Manon Fiorot,178.752,5-0-0,5,+ 18.0,+ 14.3,+ 15.3,+ 15.3,+ 16.0
Alex Caceres,178.442,16-11-0,2,+ 13.1,+ 14.9,- 16.8,+ 14.4,+ 14.2
Matt Lindland,178.024,9-3-0,2,+ 13.0,+ 14.4,- 19.2,+ 14.3,- 19.4
Rory MacDonald,177.933,9-4-0,0,- 15.9,- 16.4,+ 12.4,+ 13.8,+ 17.3
James Krause,177.907,9-4-0,1,+ 16.7,- 19.6,+ 15.6,+ 16.5,+ 14.3
Nate Diaz,177.861,16-11-0,1,+ 18.7,- 13.4,- 16.1,+ 15.6,- 15.5
Gunnar Nelson,177.835,10-5-0,2,+ 15.0,+ 13.9,- 15.0,- 15.1,+ 17.5
Alistair Overeem,177.621,12-8-0,0,- 17.2,+ 15.2,+ 13.8,- 17.7,+ 15.7
Jailton Almeida,177.363,5-0-0,5,+ 15.7,+ 14.0,+ 14.5,+ 16.6,+ 16.6
Brian Ortega,177.096,7-3-0,0,- 16.1,- 14.0,+ 15.2,- 12.8,+ 19.1
Ian Garry,176.595,5-0-0,5,+ 16.9,+ 15.0,+ 15.5,+ 14.6,+ 14.6
Pat Miletich,176.094,8-2-0,0,- 18.2,+ 14.4,- 20.5,+ 13.5,+ 12.6
Frankie Edgar,176.038,18-11-1,0,- 16.8,- 17.7,- 17.9,+ 13.9,- 19.6
Frank Shamrock,175.944,5-0-0,5,+ 14.9,+ 13.8,+ 14.5,+ 15.2,+ 17.5
Amir Albazi,175.440,5-0-0,5,+ 15.9,+ 13.9,+ 15.2,+ 14.5,+ 16.0
Drakkar Klose,174.902,7-2-0,2,+ 13.3,+ 13.0,- 14.2,+ 14.0,+ 16.1
Rick Story,174.897,12-7-0,0,- 12.1,+ 13.7,+ 16.1,+ 13.3,- 17.3
Kevin Holland,174.770,11-6-0,1,+ 17.5,- 15.8,- 16.3,+ 15.8,+ 13.9
Yushin Okami,174.708,14-7-0,0,- 19.4,+ 10.3,- 18.8,- 20.7,+ 11.3
Michel Prazeres,174.667,10-4-0,0,- 19.4,- 21.1,+ 13.5,+ 14.7,+ 12.8
Jim Miller,174.663,25-16-0,1,+ 13.2,- 19.1,+ 16.4,+ 13.7,+ 14.3
Vitor Belfort,174.185,15-10-0,0,- 16.2,+ 13.7,- 17.5,- 18.0,+ 13.0
Shane Burgos,174.175,8-3-0,2,+ 14.1,+ 16.1,- 15.6,- 16.4,+ 15.9
Cristiane Justino,173.862,6-1-0,1,+ 14.0,- 14.0,+ 13.2,+ 14.8,+ 14.6
Bryce Mitchell,173.846,6-1-0,0,- 17.2,+ 15.6,+ 15.5,+ 14.2,+ 14.5
Tim Sylvia,173.820,9-4-0,0,- 19.5,+ 15.2,- 16.3,+ 13.9,+ 15.9
Kyung Ho Kang,173.636,8-3-0,2,+ 13.9,+ 14.6,- 14.6,+ 14.5,+ 14.1
Junior Dos Santos,173.600,15-8-0,0,- 18.1,- 18.7,- 18.0,- 18.1,+ 15.0
Chris Gutierrez,173.279,7-2-1,0,- 18.3,+ 16.8,+ 14.6,+ 14.0,+ 16.2
Dan Severn,173.158,9-4-0,0,- 18.0,- 17.4,+ 14.5,+ 16.0,+ 14.6
Ricardo Lamas,172.886,11-6-0,1,+ 13.3,- 18.0,+ 18.5,- 16.8,- 18.9
Dominick Cruz,172.769,7-3-0,0,- 15.2,+ 15.3,+ 16.4,- 13.5,- 16.3
Santiago Ponzinibbio,172.707,11-6-0,0,- 17.5,+ 17.0,- 17.9,- 18.8,+ 13.8
Corey Anderson,172.580,10-5-0,0,- 17.1,+ 14.9,+ 16.4,+ 18.7,+ 16.5
Marvin Vettori,172.502,9-5-1,0,- 16.5,+ 16.2,- 13.1,+ 15.9,- 13.8
Elias Theodorou,171.938,8-3-0,0,- 17.3,+ 13.4,+ 14.2,+ 16.8,- 15.9
Jack Shore,171.452,6-1-0,1,+ 13.7,- 15.6,+ 14.8,+ 14.0,+ 15.4
Chas Skelly,171.113,8-3-0,2,+ 12.7,+ 13.2,- 17.3,+ 14.5,+ 14.6
Erik Perez,170.953,7-2-0,3,+ 14.7,+ 13.5,+ 16.2,- 16.5,+ 13.9
Nikita Krylov,170.825,11-7-0,3,+ 17.0,+ 15.8,+ 17.4,- 15.1,- 15.5
Mairbek Taisumov,170.699,7-2-0,0,- 16.9,+ 13.1,+ 13.9,+ 13.9,+ 16.1
John Hathaway,170.618,7-2-0,0,- 15.5,+ 14.2,+ 14.1,+ 12.5,- 18.9
Dan Hooker,170.218,12-8-0,1,+ 16.4,- 13.8,- 14.0,+ 15.0,- 19.9
Anthony Pettis,170.180,11-9-0,2,+ 15.8,+ 19.5,- 14.3,- 15.6,+ 18.1
Geoff Neal,170.113,7-3-0,0,- 16.6,+ 19.1,+ 18.8,- 12.9,- 15.3
Rafael Fiziev,170.035,6-2-0,0,- 16.9,+ 18.8,+ 16.6,+ 16.0,+ 17.5
Sean Brady,169.761,5-1-0,0,- 13.2,+ 17.6,+ 17.8,+ 15.2,+ 16.2
Tyron Woodley,169.583,9-6-1,0,- 14.1,- 14.6,- 15.8,- 15.5,+ 14.7
Matheus Nicolau,169.451,7-2-0,0,- 18.4,+ 14.3,+ 15.4,+ 13.0,+ 13.9
Josh Barnett,169.107,7-3-0,1,+ 18.5,- 17.2,+ 13.8,- 15.8,+ 17.0
Li Jingliang,168.830,11-6-0,0,- 16.4,+ 16.2,- 17.9,+ 18.1,- 15.0
Michel Pereira,168.525,6-2-0,5,+ 17.9,+ 14.3,+ 16.7,+ 17.5,+ 15.1
Serghei Spivac,167.523,7-3-0,3,+ 18.5,+ 15.2,+ 15.3,- 15.3,+ 16.6
Jack Della Maddalena,167.468,4-0-0,4,+ 18.3,+ 15.9,+ 17.3,+ 16.0,+ 0.0
Edson Barboza,167.310,17-11-0,1,+ 15.7,- 15.6,- 15.7,+ 15.6,+ 16.3
Jonathan Pearce,167.192,5-1-0,5,+ 17.4,+ 15.4,+ 15.1,+ 17.4,+ 17.4
Mackenzie Dern,167.158,8-3-0,1,+ 13.2,- 16.8,+ 16.0,- 16.8,+ 14.2
Paulo Costa,167.089,6-2-0,1,+ 16.0,- 15.9,- 13.4,+ 18.4,+ 14.5
Tom Aspinall,167.016,5-1-0,0,- 13.8,+ 17.0,+ 15.3,+ 17.2,+ 15.3
Krzysztof Jotko,166.286,11-6-0,0,- 16.4,+ 14.9,+ 14.9,- 15.0,+ 14.6
Umar Nurmagomedov,166.169,4-0-0,4,+ 16.0,+ 16.6,+ 17.6,+ 16.0,+ 0.0
Sean Sherk,165.628,8-4-0,1,+ 16.7,- 16.8,+ 16.6,- 15.2,+ 16.0
Aleksandar Rakic,165.626,6-2-0,0,- 15.0,+ 17.1,+ 16.8,- 17.6,+ 14.6
Chad Mendes,165.589,9-5-0,0,- 16.1,+ 17.0,- 13.5,- 16.5,+ 16.0
Julianna Pena,165.438,7-3-0,0,- 12.5,+ 21.3,+ 15.0,- 15.7,+ 14.7
Rashid Magomedov,165.253,5-1-0,1,+ 15.3,- 15.2,+ 15.8,+ 16.6,+ 16.7
Dan Ige,164.721,9-5-0,2,+ 15.4,+ 17.0,- 14.4,- 15.0,- 16.9
Jeremiah Wells,164.614,4-0-0,4,+ 16.0,+ 14.8,+ 15.1,+ 18.6,+ 0.0
Andre Muniz,164.571,5-1-0,0,- 15.5,+ 15.7,+ 14.8,+ 16.9,+ 16.8
Petr Yan,164.413,8-4-0,0,- 15.1,- 16.5,- 14.7,+ 15.7,- 15.4
Chan Sung Jung,164.268,7-4-0,0,- 12.0,+ 16.9,- 15.2,+ 19.6,+ 16.6
Diego Ferreira,164.134,9-5-0,1,+ 13.8,- 18.3,- 16.5,- 14.6,+ 14.3
Thiago Silva,164.094,7-3-0,2,+ 17.1,+ 14.5,- 15.1,- 13.9,+ 15.3
Jake Matthews,163.924,11-6-0,0,- 18.4,+ 13.7,- 17.8,+ 15.9,+ 12.9
Omari Akhmedov,163.891,9-5-1,0,- 15.7,+ 15.0,- 15.9,+ 14.0,+ 17.1
Caio Borralho,163.825,4-0-0,4,+ 15.9,+ 15.9,+ 16.1,+ 16.0,+ 0.0
Renato Moicano,163.754,9-5-0,1,+ 15.2,- 13.6,+ 15.9,+ 14.0,- 17.5
Ryan Hall,163.641,5-1-0,1,+ 13.9,- 17.6,+ 18.1,+ 15.2,+ 17.9
Jack Hermansson,163.570,10-6-0,0,- 16.9,+ 15.4,- 14.2,+ 15.3,- 17.4
Anthony Rocco Martin,163.434,9-6-0,0,- 14.1,+ 15.5,- 13.6,+ 17.5,+ 16.9
Brad Tavares,163.105,14-8-0,0,- 19.1,- 19.1,+ 15.7,+ 14.6,- 18.0
Kelvin Gastelum,163.070,12-8-0,1,+ 16.2,- 17.4,- 12.5,+ 14.4,- 16.7
Robbie Lawler,163.021,14-10-0,0,- 18.0,+ 14.0,- 13.6,- 14.4,- 21.2
Said Nurmagomedov,162.821,6-2-0,0,- 16.0,+ 14.6,+ 15.3,+ 16.0,+ 15.2
Alex Pereira,162.796,4-1-0,0,- 12.4,+ 21.4,+ 20.5,+ 17.4,+ 16.0
